the_month,LGA_NAME23,class,kwh,nmi_count
2022-07-01,Alpine,Commercial,2973759.3309,1542
2022-07-01,Alpine,Industrial,2178158.686,22
2022-07-01,Alpine,Residential,7878222.1677,7691
2022-07-01,Banyule,Commercial,2234839.32496,1411
2022-07-01,Banyule,Industrial,3489839.0885,58
2022-07-01,Banyule,Residential,11756986.81654,22947
2022-07-01,Bass Coast,Commercial,3783988.78628,2406
2022-07-01,Bass Coast,Industrial,2545637.6798,61
2022-07-01,Bass Coast,Residential,15389380.9049,29940
2022-07-01,Baw Baw,Commercial,5940892.26,3868
2022-07-01,Baw Baw,Industrial,8412647.6607,104
2022-07-01,Baw Baw,Residential,14249496.75651,25013
2022-07-01,Benalla,Commercial,1454314.68262,1249
2022-07-01,Benalla,Industrial,4900329.294,30
2022-07-01,Benalla,Residential,4231822.16095,7098
2022-07-01,Brimbank,Commercial,286.1424,1
2022-07-01,Cardinia,Commercial,7790275.62059,4783
2022-07-01,Cardinia,Industrial,12126323.464,179
2022-07-01,Cardinia,Residential,25191588.71961,44358
2022-07-01,Casey,Commercial,11353482.12011,5521
2022-07-01,Casey,Industrial,21041259.0333,343
2022-07-01,Casey,Residential,51436886.10503,108611
2022-07-01,Darebin,Commercial,293052.4899,127
2022-07-01,Darebin,Industrial,1087286.5023,20
2022-07-01,Darebin,Residential,1274525.96489,2327
2022-07-01,East Gippsland,Commercial,5434687.57672,4010
2022-07-01,East Gippsland,Industrial,5492433.0507000005,84
2022-07-01,East Gippsland,Residential,15876099.05786,25856
2022-07-01,Federation,Commercial,3.184,1
2022-07-01,Frankston,Commercial,42139.3492,17
2022-07-01,Frankston,Industrial,343584.5496,5
2022-07-01,Frankston,Residential,20071.7136,24
2022-07-01,Greater Dandenong,Commercial,274063.91370000003,81
2022-07-01,Greater Dandenong,Industrial,661293.624,11
2022-07-01,Greater Dandenong,Residential,5202.465,4
2022-07-01,Greater Shepparton,Commercial,7481.552000000001,5
2022-07-01,Greater Shepparton,Residential,5437.8376,8
2022-07-01,Hume,Commercial,108215.8472,43
2022-07-01,Hume,Industrial,1359317.47,16
2022-07-01,Hume,Residential,1077763.6899,2624
2022-07-01,Indigo,Commercial,1837295.31191,1335
2022-07-01,Indigo,Industrial,3327442.8879,18
2022-07-01,Indigo,Residential,5839737.66726,7738
2022-07-01,Knox,Commercial,10426426.51935,6234
2022-07-01,Knox,Industrial,20668003.713,282
2022-07-01,Knox,Residential,26065628.51665,53055
2022-07-01,Latrobe (Vic.),Commercial,7606619.44085,4091
2022-07-01,Latrobe (Vic.),Industrial,35420722.7326,174
2022-07-01,Latrobe (Vic.),Residential,19574081.54609,35758
2022-07-01,Macedon Ranges,Commercial,43.098,1
2022-07-01,Macedon Ranges,Residential,2545.051,3
2022-07-01,Manningham,Commercial,794136.83323,377
2022-07-01,Manningham,Industrial,143095.0,3
2022-07-01,Manningham,Residential,4516100.79974,5082
2022-07-01,Mansfield,Commercial,1730020.9673,959
2022-07-01,Mansfield,Industrial,669360.6016,12
2022-07-01,Mansfield,Residential,5114107.648,6404
2022-07-01,Maroondah,Commercial,7989901.93223,4763
2022-07-01,Maroondah,Industrial,16440644.5972,210
2022-07-01,Maroondah,Residential,22902455.34548,47069
2022-07-01,Mitchell,Commercial,3109343.22163,1782
2022-07-01,Mitchell,Industrial,5514121.1871,87
2022-07-01,Mitchell,Residential,11637462.35259,19601
2022-07-01,Moira,Commercial,25089.483,68
2022-07-01,Moira,Industrial,31036.21,1
2022-07-01,Moira,Residential,163132.9827,198
2022-07-01,Murrindindi,Commercial,2227331.76109,1557
2022-07-01,Murrindindi,Industrial,1098966.3321,27
2022-07-01,Murrindindi,Residential,6469382.90869,8141
2022-07-01,Nillumbik,Commercial,3286958.65932,1705
2022-07-01,Nillumbik,Industrial,5341468.2027,54
2022-07-01,Nillumbik,Residential,16789662.45563,22691
2022-07-01,Snowy Valleys,Residential,1129.6129999999998,3
2022-07-01,South Gippsland,Commercial,4702005.10288,3458
2022-07-01,South Gippsland,Industrial,7140552.8347000005,57
2022-07-01,South Gippsland,Residential,10945322.59839,17047
2022-07-01,Strathbogie,Commercial,1568311.41027,1294
2022-07-01,Strathbogie,Industrial,1029608.8651,31
2022-07-01,Strathbogie,Residential,3736638.17958,5574
2022-07-01,Towong,Commercial,1107784.98361,926
2022-07-01,Towong,Industrial,268838.886,8
2022-07-01,Towong,Residential,2321695.37088,3174
2022-07-01,Unincorporated Vic,Commercial,5159681.1951,594
2022-07-01,Unincorporated Vic,Industrial,1373415.1400000001,16
2022-07-01,Unincorporated Vic,Residential,2452167.9343,1586
2022-07-01,Wangaratta,Commercial,3690756.97248,2609
2022-07-01,Wangaratta,Industrial,7809321.76,70
2022-07-01,Wangaratta,Residential,8617989.34177,13822
2022-07-01,Wellington,Commercial,6363219.54612,4628
2022-07-01,Wellington,Industrial,5447956.102,113
2022-07-01,Wellington,Residential,13076999.13876,23406
2022-07-01,Whitehorse,Residential,10285.4611,17
2022-07-01,Whittlesea,Commercial,13118272.04446,6702
2022-07-01,Whittlesea,Industrial,29762355.0181,374
2022-07-01,Whittlesea,Residential,40241463.10621,84966
2022-07-01,Wodonga,Commercial,3429944.7597,1841
2022-07-01,Wodonga,Industrial,13974495.3293,114
2022-07-01,Wodonga,Residential,9198846.2323,18775
2022-07-01,Yarra Ranges,Commercial,9919293.11501,6179
2022-07-01,Yarra Ranges,Industrial,12805239.9995,229
2022-07-01,Yarra Ranges,Residential,37149900.95989,61594
2022-08-01,Alpine,Commercial,2577052.3345,1568
2022-08-01,Alpine,Industrial,2472956.712,22
2022-08-01,Alpine,Residential,6502433.7656,7744
2022-08-01,Banyule,Commercial,2178847.34722,1430
2022-08-01,Banyule,Industrial,3446279.248,58
2022-08-01,Banyule,Residential,10317398.80447,23092
2022-08-01,Bass Coast,Commercial,3670285.2603,2390
2022-08-01,Bass Coast,Industrial,2429730.3811,61
2022-08-01,Bass Coast,Residential,13623875.28578,29925
2022-08-01,Baw Baw,Commercial,5914405.9866,3864
2022-08-01,Baw Baw,Industrial,9133455.8319,104
2022-08-01,Baw Baw,Residential,12851269.40877,25072
2022-08-01,Benalla,Commercial,1450408.2942,1222
2022-08-01,Benalla,Industrial,5169051.632,30
2022-08-01,Benalla,Residential,3743215.1766,7083
2022-08-01,Brimbank,Commercial,286.1424,1
2022-08-01,Cardinia,Commercial,7719234.7207,4782
2022-08-01,Cardinia,Industrial,11900637.7184,181
2022-08-01,Cardinia,Residential,22509112.30966,44389
2022-08-01,Casey,Commercial,11078224.6841,5541
2022-08-01,Casey,Industrial,20991095.2814,346
2022-08-01,Casey,Residential,45983361.2311,108917
2022-08-01,Darebin,Commercial,281280.84859999997,126
2022-08-01,Darebin,Industrial,1058962.2958,20
2022-08-01,Darebin,Residential,1108515.1451,2322
2022-08-01,East Gippsland,Commercial,5132185.54919,4032
2022-08-01,East Gippsland,Industrial,5470216.5103,84
2022-08-01,East Gippsland,Residential,13824500.44452,25848
2022-08-01,Federation,Commercial,3.174,1
2022-08-01,Frankston,Commercial,37509.1824,19
2022-08-01,Frankston,Industrial,335098.0446,5
2022-08-01,Frankston,Residential,23563.7568,26
2022-08-01,Greater Dandenong,Commercial,265801.0123,83
2022-08-01,Greater Dandenong,Industrial,704558.082,11
2022-08-01,Greater Dandenong,Residential,5177.7033,4
2022-08-01,Greater Shepparton,Commercial,5691.737999999999,5
2022-08-01,Greater Shepparton,Residential,4557.7236,8
2022-08-01,Hume,Commercial,104732.6614,43
2022-08-01,Hume,Industrial,1317826.596,16
2022-08-01,Hume,Residential,942810.028,2668
2022-08-01,Indigo,Commercial,1783093.3776,1328
2022-08-01,Indigo,Industrial,3384461.9756,18
2022-08-01,Indigo,Residential,5097344.58541,7715
2022-08-01,Knox,Commercial,10236283.44818,6201
2022-08-01,Knox,Industrial,20808919.5655,282
2022-08-01,Knox,Residential,23140274.13055,53135
2022-08-01,Latrobe (Vic.),Commercial,7427946.3217,4079
2022-08-01,Latrobe (Vic.),Industrial,31466402.286599997,175
2022-08-01,Latrobe (Vic.),Residential,17483123.85419,35757
2022-08-01,Macedon Ranges,Commercial,0.0,1
2022-08-01,Macedon Ranges,Residential,2100.751,3
2022-08-01,Manningham,Commercial,776263.1677999999,376
2022-08-01,Manningham,Industrial,139274.792,3
2022-08-01,Manningham,Residential,4056797.44103,5114
2022-08-01,Mansfield,Commercial,1586187.6443,957
2022-08-01,Mansfield,Industrial,659206.7479,12
2022-08-01,Mansfield,Residential,4214395.32281,6404
2022-08-01,Maroondah,Commercial,7691624.3844,4718
2022-08-01,Maroondah,Industrial,16768988.5988,210
2022-08-01,Maroondah,Residential,20328368.52055,47053
2022-08-01,Mitchell,Commercial,3018374.771,1782
2022-08-01,Mitchell,Industrial,5342746.6077000005,87
2022-08-01,Mitchell,Residential,10493060.3895,19674
2022-08-01,Moira,Commercial,24590.4428,68
2022-08-01,Moira,Industrial,29413.71,1
2022-08-01,Moira,Residential,147196.3435,198
2022-08-01,Murrindindi,Commercial,2077402.2027,1563
2022-08-01,Murrindindi,Industrial,1034173.8454,27
2022-08-01,Murrindindi,Residential,5640259.08273,8185
2022-08-01,Nillumbik,Commercial,3193735.79806,1708
2022-08-01,Nillumbik,Industrial,4433669.6677,53
2022-08-01,Nillumbik,Residential,14477582.41635,22692
2022-08-01,Snowy Valleys,Residential,656.933,3
2022-08-01,South Gippsland,Commercial,4844083.9019,3455
2022-08-01,South Gippsland,Industrial,7456149.6961,57
2022-08-01,South Gippsland,Residential,9901282.19898,17067
2022-08-01,Strathbogie,Commercial,1482906.83431,1284
2022-08-01,Strathbogie,Industrial,1017088.1839000001,31
2022-08-01,Strathbogie,Residential,3320888.00622,5583
2022-08-01,Towong,Commercial,1011870.1309,905
2022-08-01,Towong,Industrial,267918.532,8
2022-08-01,Towong,Residential,1997181.0429,3144
2022-08-01,Unincorporated Vic,Commercial,4653765.8996,601
2022-08-01,Unincorporated Vic,Industrial,1553899.046,17
2022-08-01,Unincorporated Vic,Residential,2458600.5952,1589
2022-08-01,Wangaratta,Commercial,3497599.1949,2625
2022-08-01,Wangaratta,Industrial,7862417.468,70
2022-08-01,Wangaratta,Residential,7460045.44351,13810
2022-08-01,Wellington,Commercial,6539262.83857,4626
2022-08-01,Wellington,Industrial,5635591.62,113
2022-08-01,Wellington,Residential,11518364.27824,23417
