the_month,POA_CODE21,class,kwh,nmi_count
2022-07-01,2646,Commercial,3.184,1
2022-07-01,3023,Commercial,286.1424,1
2022-07-01,3064,Commercial,532161.7678,84
2022-07-01,3064,Industrial,1449461.528,19
2022-07-01,3064,Residential,1750615.04489,4549
2022-07-01,3073,Commercial,45.369,3
2022-07-01,3074,Commercial,4316688.32309,2488
2022-07-01,3074,Industrial,6970596.9585,85
2022-07-01,3074,Residential,3645845.5888,8237
2022-07-01,3075,Commercial,521174.44006,337
2022-07-01,3075,Industrial,430891.878,8
2022-07-01,3075,Residential,3951955.62999,8724
2022-07-01,3076,Commercial,3375525.54451,1716
2022-07-01,3076,Industrial,12306750.1055,129
2022-07-01,3076,Residential,5467884.99459,11946
2022-07-01,3082,Commercial,680153.8351,396
2022-07-01,3082,Industrial,2933506.275,39
2022-07-01,3082,Residential,5042239.69515,10688
2022-07-01,3083,Commercial,1516554.944,967
2022-07-01,3083,Industrial,3127280.2843,57
2022-07-01,3083,Residential,5313959.5614,10295
2022-07-01,3085,Commercial,50173.883200000004,22
2022-07-01,3085,Industrial,98588.576,3
2022-07-01,3085,Residential,544944.18809,1016
2022-07-01,3087,Commercial,331198.3601,189
2022-07-01,3087,Industrial,151594.164,4
2022-07-01,3087,Residential,1818685.77847,3811
2022-07-01,3088,Commercial,1407301.6357,660
2022-07-01,3088,Industrial,2858516.1325,39
2022-07-01,3088,Residential,5568335.05246,10896
2022-07-01,3089,Commercial,499886.35659,253
2022-07-01,3089,Industrial,334663.678,10
2022-07-01,3089,Residential,2722971.96059,4511
2022-07-01,3090,Commercial,104081.4266,79
2022-07-01,3090,Industrial,174859.81699999998,3
2022-07-01,3090,Residential,880805.84266,833
2022-07-01,3091,Commercial,195105.4952,76
2022-07-01,3091,Industrial,14957.53,1
2022-07-01,3091,Residential,826897.12284,541
2022-07-01,3093,Commercial,242716.50496000002,92
2022-07-01,3093,Industrial,208277.37800000003,6
2022-07-01,3093,Residential,1148060.7855,1643
2022-07-01,3094,Commercial,218941.5345,174
2022-07-01,3094,Industrial,156837.04,5
2022-07-01,3094,Residential,1893869.5848,3775
2022-07-01,3095,Commercial,1539612.12863,868
2022-07-01,3095,Industrial,1402810.539,25
2022-07-01,3095,Residential,6680194.37221,10364
2022-07-01,3096,Commercial,24809.1725,21
2022-07-01,3096,Industrial,59581.75,2
2022-07-01,3096,Residential,499545.8523,647
2022-07-01,3097,Commercial,72967.9469,43
2022-07-01,3097,Industrial,27489.92,1
2022-07-01,3097,Residential,614477.97699,518
2022-07-01,3099,Commercial,247930.5649,198
2022-07-01,3099,Industrial,183056.3481,1
2022-07-01,3099,Residential,1632381.70555,1892
2022-07-01,3106,Commercial,66.41423,2
2022-07-01,3106,Residential,49353.792,50
2022-07-01,3111,Commercial,111752.0667,17
2022-07-01,3111,Industrial,80742.144,1
2022-07-01,3111,Residential,457437.82654,497
2022-07-01,3113,Commercial,415208.08629999997,214
2022-07-01,3113,Industrial,62352.856,2
2022-07-01,3113,Residential,2411182.3307,2965
2022-07-01,3114,Commercial,89732.3826,72
2022-07-01,3114,Residential,1119370.8068,1238
2022-07-01,3115,Commercial,133209.3074,66
2022-07-01,3115,Residential,1168128.9245,1290
2022-07-01,3116,Commercial,549766.5643,251
2022-07-01,3116,Industrial,2059864.804,34
2022-07-01,3116,Residential,2400270.60579,4477
2022-07-01,3132,Residential,10285.4611,17
2022-07-01,3133,Commercial,1620.318,3
2022-07-01,3133,Residential,82955.6282,160
2022-07-01,3134,Commercial,2943517.51346,1678
2022-07-01,3134,Industrial,9545306.7109,84
2022-07-01,3134,Residential,7071617.51799,13800
2022-07-01,3135,Commercial,726646.98519,443
2022-07-01,3135,Industrial,1077116.8020000001,14
2022-07-01,3135,Residential,4152456.83438,8561
2022-07-01,3136,Commercial,1952322.56259,1326
2022-07-01,3136,Industrial,2354794.4684,50
2022-07-01,3136,Residential,9169362.51982,19230
2022-07-01,3137,Commercial,1401327.27499,724
2022-07-01,3137,Industrial,2017740.316,33
2022-07-01,3137,Residential,2954413.75469,6057
2022-07-01,3138,Commercial,567467.7335,348
2022-07-01,3138,Industrial,489197.36100000003,13
2022-07-01,3138,Residential,4392118.49258,8761
2022-07-01,3139,Commercial,997852.0337,716
2022-07-01,3139,Industrial,418304.8186,9
2022-07-01,3139,Residential,3972975.5977,5393
2022-07-01,3140,Commercial,1596575.9131,965
2022-07-01,3140,Industrial,3380953.1576,46
2022-07-01,3140,Residential,3485874.88918,6809
2022-07-01,3152,Commercial,1542852.78618,772
2022-07-01,3152,Industrial,5498116.2318,68
2022-07-01,3152,Residential,5125357.28559,10503
2022-07-01,3153,Commercial,4855688.50588,2947
2022-07-01,3153,Industrial,6851316.4101,114
2022-07-01,3153,Residential,4233746.4978,9250
2022-07-01,3154,Commercial,229458.4268,95
2022-07-01,3154,Industrial,195.24,1
2022-07-01,3154,Residential,940323.09441,1710
2022-07-01,3155,Commercial,1323793.8125,1069
2022-07-01,3155,Industrial,2345351.1544,35
2022-07-01,3155,Residential,4725989.07861,10336
2022-07-01,3156,Commercial,2037386.4591,1228
2022-07-01,3156,Industrial,3202543.0297,40
2022-07-01,3156,Residential,7956555.60608,14964
2022-07-01,3158,Commercial,209894.1696,123
2022-07-01,3158,Industrial,476759.501,3
2022-07-01,3158,Residential,1481919.99396,2575
2022-07-01,3159,Commercial,41564.13213,65
2022-07-01,3159,Residential,673084.4485,928
2022-07-01,3160,Commercial,451979.3735,301
2022-07-01,3160,Industrial,275035.8661,7
2022-07-01,3160,Residential,2174518.20138,3473
2022-07-01,3175,Commercial,260050.6253,78
2022-07-01,3175,Industrial,661293.624,11
2022-07-01,3175,Residential,459.678,1
2022-07-01,3178,Commercial,1059436.33559,489
2022-07-01,3178,Industrial,1924554.97,31
2022-07-01,3178,Residential,3677283.79415,7059
2022-07-01,3179,Commercial,36361.5202,30
2022-07-01,3179,Industrial,50094.152,2
2022-07-01,3179,Residential,350718.69509,710
2022-07-01,3180,Commercial,1196435.0914,626
2022-07-01,3180,Industrial,3867127.5790000004,44
2022-07-01,3180,Residential,1432718.6222,3026
2022-07-01,3434,Commercial,43.098,1
2022-07-01,3522,Residential,3258.271,7
2022-07-01,3607,Commercial,26259.8209,22
2022-07-01,3607,Industrial,218931.696,5
2022-07-01,3607,Residential,47737.704,63
2022-07-01,3608,Commercial,593958.37609,284
2022-07-01,3608,Industrial,348106.31799999997,12
2022-07-01,3608,Residential,1059421.97238,1410
2022-07-01,3610,Commercial,6950.443,1
2022-07-01,3612,Commercial,15042.761,1
2022-07-01,3612,Residential,18146.2739,20
2022-07-01,3646,Commercial,2405.308,2
2022-07-01,3646,Residential,2152.662,5
2022-07-01,3658,Commercial,405211.9331,261
2022-07-01,3658,Industrial,817708.4815999999,8
2022-07-01,3658,Residential,1754299.4949,2641
2022-07-01,3659,Commercial,55816.3706,72
2022-07-01,3659,Industrial,203.36,1
2022-07-01,3659,Residential,258160.1758,326
2022-07-01,3660,Commercial,1080906.316,636
2022-07-01,3660,Industrial,1195785.4515,26
2022-07-01,3660,Residential,2302086.55789,3776
2022-07-01,3662,Commercial,14743.7746,12
2022-07-01,3662,Industrial,1264757.5520000001,2
2022-07-01,3662,Residential,213707.9879,274
2022-07-01,3663,Commercial,58616.7769,46
2022-07-01,3663,Residential,85516.067,93
2022-07-01,3664,Commercial,183363.35328,125
2022-07-01,3664,Industrial,6908.864,1
2022-07-01,3664,Residential,489770.40669,598
2022-07-01,3665,Commercial,43061.2693,58
2022-07-01,3665,Residential,139826.3276,192
2022-07-01,3666,Commercial,571537.1002,579
2022-07-01,3666,Industrial,417039.4631,12
2022-07-01,3666,Residential,1451670.10371,2544
2022-07-01,3669,Commercial,102156.4151,198
2022-07-01,3669,Industrial,38622.524,1
2022-07-01,3669,Residential,477131.0891,683
2022-07-01,3670,Commercial,16981.8399,54
2022-07-01,3670,Residential,211617.6165,283
2022-07-01,3672,Commercial,1033584.75543,772
2022-07-01,3672,Industrial,4878160.478,29
2022-07-01,3672,Residential,3017963.35499,5453
2022-07-01,3673,Commercial,302971.40349,245
2022-07-01,3673,Industrial,22168.816,1
2022-07-01,3673,Residential,592511.03616,805
2022-07-01,3675,Commercial,208034.0623,213
2022-07-01,3675,Residential,623399.9489,816
2022-07-01,3677,Commercial,2512192.06279,1335
2022-07-01,3677,Industrial,2749059.234,52
2022-07-01,3677,Residential,4649590.29058,9146
2022-07-01,3678,Commercial,713893.49129,731
2022-07-01,3678,Industrial,5020864.288,17
2022-07-01,3678,Residential,2498087.35039,2853
2022-07-01,3682,Commercial,86093.5496,80
2022-07-01,3682,Residential,215153.3227,254
2022-07-01,3683,Commercial,135479.3078,134
2022-07-01,3683,Residential,523018.5174,812
2022-07-01,3685,Commercial,411467.48313,277
2022-07-01,3685,Industrial,52550.246,2
2022-07-01,3685,Residential,973941.05297,1422
2022-07-01,3687,Commercial,81663.4671,65
2022-07-01,3687,Industrial,1498235.2238999999,3
2022-07-01,3687,Residential,327935.3061,522
2022-07-01,3688,Commercial,58950.032999999996,79
2022-07-01,3688,Industrial,270210.234,2
2022-07-01,3688,Residential,451093.875,532
2022-07-01,3690,Commercial,3117560.1226,1609
2022-07-01,3690,Industrial,10335136.6373,92
2022-07-01,3690,Residential,7550465.4473,15802
2022-07-01,3691,Commercial,732464.6322,628
2022-07-01,3691,Industrial,4759762.812,24
2022-07-01,3691,Residential,3029625.5452,4839
2022-07-01,3695,Commercial,21001.336,57
2022-07-01,3695,Residential,152544.705,191
2022-07-01,3697,Commercial,58105.0256,52
2022-07-01,3697,Residential,264648.26,308
2022-07-01,3698,Commercial,177568.51440000001,55
2022-07-01,3698,Residential,552920.1765,606
2022-07-01,3699,Commercial,1999897.7678,328
2022-07-01,3699,Industrial,486110.498,6
2022-07-01,3699,Residential,1332390.3309,1086
2022-07-01,3700,Commercial,210572.2112,154
2022-07-01,3700,Industrial,163521.304,4
2022-07-01,3700,Residential,503333.1967,650
2022-07-01,3701,Commercial,280012.6793,282
2022-07-01,3701,Industrial,16104.63,1
2022-07-01,3701,Residential,391494.22398999997,691
2022-07-01,3704,Commercial,4646.065,4
2022-07-01,3704,Residential,10251.484,13
2022-07-01,3705,Commercial,47414.14111,42
2022-07-01,3705,Residential,90556.94399,125
2022-07-01,3707,Commercial,394111.6411,268
2022-07-01,3707,Industrial,89212.95199999999,3
2022-07-01,3707,Residential,773854.1159,947
2022-07-01,3708,Commercial,12987.63,21
2022-07-01,3708,Residential,21159.502,36
2022-07-01,3709,Commercial,117616.0767,68
2022-07-01,3709,Residential,105078.7606,160
2022-07-01,3711,Commercial,44264.7263,41
2022-07-01,3711,Residential,248016.9197,375
2022-07-01,3712,Commercial,136438.0357,48
2022-07-01,3712,Industrial,264989.12,5
2022-07-01,3712,Residential,156779.0999,211
2022-07-01,3713,Commercial,296648.64149999997,116
2022-07-01,3713,Industrial,90339.825,4
2022-07-01,3713,Residential,480732.1022,871
2022-07-01,3714,Commercial,505711.25689,417
2022-07-01,3714,Industrial,210527.212,6
2022-07-01,3714,Residential,1657108.8601,1992
2022-07-01,3715,Commercial,21981.2224,48
2022-07-01,3715,Residential,149557.5304,239
2022-07-01,3717,Commercial,398118.4889,377
2022-07-01,3717,Industrial,150043.25340000002,5
2022-07-01,3717,Residential,1510448.99329,1868
2022-07-01,3718,Commercial,17772.8407,29
2022-07-01,3718,Residential,49499.863,55
2022-07-01,3719,Commercial,77335.6787,74
2022-07-01,3719,Residential,166636.016,249
2022-07-01,3720,Commercial,112579.455,61
2022-07-01,3720,Industrial,19401.528,1
2022-07-01,3720,Residential,357222.0941,710
2022-07-01,3722,Commercial,1070454.9384,543
2022-07-01,3722,Industrial,332613.976,7
2022-07-01,3722,Residential,2923202.1219,3010
2022-07-01,3723,Commercial,2357918.7366,547
2022-07-01,3723,Industrial,1260104.7276,17
2022-07-01,3723,Residential,2712323.2729,3103
2022-07-01,3725,Commercial,32392.7605,69
2022-07-01,3725,Residential,188740.9753,247
2022-07-01,3726,Commercial,24843.3446,64
2022-07-01,3726,Residential,137940.073,194
2022-07-01,3727,Commercial,10896.767,43
2022-07-01,3727,Residential,108906.4457,134
2022-07-01,3728,Commercial,4956.013,8
2022-07-01,3728,Residential,13089.842999999999,13
2022-07-01,3730,Commercial,295.571,5
2022-07-01,3730,Residential,9802.324,11
2022-07-01,3732,Commercial,84634.4005,116
2022-07-01,3732,Residential,238246.335,276
2022-07-01,3733,Commercial,93106.2807,66
2022-07-01,3733,Residential,103270.5795,126
2022-07-01,3735,Commercial,52024.6733,107
2022-07-01,3735,Industrial,70434.448,2
2022-07-01,3735,Residential,313802.3908,330
2022-07-01,3737,Commercial,721009.4952,539
2022-07-01,3737,Industrial,1610969.152,7
2022-07-01,3737,Residential,2222761.8904,2261
2022-07-01,3738,Commercial,66307.2139,40
2022-07-01,3738,Industrial,8790.768,1
2022-07-01,3738,Residential,94207.884,99
2022-07-01,3739,Commercial,41928.5908,45
2022-07-01,3739,Industrial,102979.744,1
2022-07-01,3739,Residential,109905.465,104
2022-07-01,3740,Commercial,181685.6337,84
2022-07-01,3740,Residential,567251.328,595
2022-07-01,3741,Commercial,2746693.5741,559
2022-07-01,3741,Industrial,346957.322,8
2022-07-01,3741,Residential,2734231.7602,2614
2022-07-01,3744,Commercial,23926.3806,27
2022-07-01,3744,Industrial,41240.32,1
2022-07-01,3744,Residential,255028.7682,278
2022-07-01,3746,Commercial,11556.788700000001,23
2022-07-01,3746,Residential,123572.3352,173
2022-07-01,3747,Commercial,679748.08698,394
2022-07-01,3747,Industrial,354902.624,8
2022-07-01,3747,Residential,1965688.68729,2365
2022-07-01,3749,Commercial,178075.6718,142
2022-07-01,3749,Industrial,31140.44,1
2022-07-01,3749,Residential,699717.3182,886
2022-07-01,3750,Commercial,243192.2097,118
2022-07-01,3750,Industrial,1043891.7911,16
2022-07-01,3750,Residential,3926296.81561,8876
2022-07-01,3751,Commercial,8367.939,10
2022-07-01,3751,Industrial,18319.008,1
2022-07-01,3751,Residential,69022.909,75
2022-07-01,3752,Commercial,1401448.7304,340
2022-07-01,3752,Industrial,1567751.668,23
2022-07-01,3752,Residential,4118193.69119,8540
2022-07-01,3753,Commercial,150492.7786,57
2022-07-01,3753,Industrial,55428.592,2
2022-07-01,3753,Residential,1036848.3071,1978
2022-07-01,3754,Commercial,943576.1102,447
2022-07-01,3754,Industrial,2171857.454,31
2022-07-01,3754,Residential,8497073.12479,17834
2022-07-01,3755,Commercial,19816.7383,24
2022-07-01,3755,Industrial,50742.164000000004,3
2022-07-01,3755,Residential,109788.3261,109
2022-07-01,3756,Commercial,548392.2891,302
2022-07-01,3756,Industrial,991145.342,24
2022-07-01,3756,Residential,3164270.8354,6059
2022-07-01,3757,Commercial,568132.6335,400
2022-07-01,3757,Industrial,549129.5117,10
2022-07-01,3757,Residential,2904831.1532,3695
2022-07-01,3758,Commercial,99032.5534,78
2022-07-01,3758,Industrial,41391.888,2
2022-07-01,3758,Residential,763027.0628,789
2022-07-01,3759,Commercial,29536.1898,32
2022-07-01,3759,Industrial,18070.286,1
2022-07-01,3759,Residential,478778.46949,388
2022-07-01,3760,Commercial,17759.675,4
2022-07-01,3760,Residential,139815.24701,136
2022-07-01,3761,Commercial,43921.1246,28
2022-07-01,3761,Residential,485824.8691,460
2022-07-01,3762,Commercial,2069.067,6
2022-07-01,3762,Residential,65805.095,56
2022-07-01,3763,Commercial,83963.064,69
2022-07-01,3763,Industrial,16278.56,1
2022-07-01,3763,Residential,681926.3185,732
2022-07-01,3764,Commercial,781012.30553,430
2022-07-01,3764,Industrial,1165589.88,23
2022-07-01,3764,Residential,2362636.1441,4037
2022-07-01,3765,Commercial,270422.349,163
2022-07-01,3765,Industrial,507155.586,6
2022-07-01,3765,Residential,1454676.15189,2430
2022-07-01,3766,Commercial,15382.6042,28
2022-07-01,3766,Industrial,122428.1372,2
2022-07-01,3766,Residential,331123.05206,560
2022-07-01,3767,Commercial,88823.4292,38
2022-07-01,3767,Industrial,314348.034,3
2022-07-01,3767,Residential,352651.27265,555
2022-07-01,3770,Commercial,519948.3182,291
2022-07-01,3770,Industrial,619979.7317,17
2022-07-01,3770,Residential,1031307.6585,1242
2022-07-01,3775,Commercial,454248.6924,301
2022-07-01,3775,Industrial,3210882.2766,10
2022-07-01,3775,Residential,1264431.1804,1675
2022-07-01,3777,Commercial,1008743.98123,566
2022-07-01,3777,Industrial,1035940.3931,19
2022-07-01,3777,Residential,2946378.2368,4732
2022-07-01,3778,Commercial,51727.6498,32
2022-07-01,3778,Residential,99183.1193,133
2022-07-01,3779,Commercial,275371.7941,76
2022-07-01,3779,Industrial,105051.9,1
2022-07-01,3779,Residential,266739.7467,396
2022-07-01,3781,Commercial,110211.71111999999,119
2022-07-01,3781,Industrial,59607.052,1
2022-07-01,3781,Residential,1136563.9547,1697
2022-07-01,3782,Commercial,441902.68259,256
2022-07-01,3782,Industrial,280594.6571,7
2022-07-01,3782,Residential,2134259.58728,2997
2022-07-01,3783,Commercial,159420.925,152
2022-07-01,3783,Industrial,38132.76,1
2022-07-01,3783,Residential,741864.54513,950
2022-07-01,3785,Commercial,11528.5409,9
2022-07-01,3785,Residential,14907.068,31
2022-07-01,3786,Commercial,219821.09291,33
2022-07-01,3786,Residential,414900.9229,622
2022-07-01,3787,Commercial,81730.89693,74
2022-07-01,3787,Residential,303541.68968,418
2022-07-01,3788,Commercial,186710.87989,140
2022-07-01,3788,Industrial,353.08,1
2022-07-01,3788,Residential,563073.64726,825
2022-07-01,3789,Commercial,35457.1092,17
2022-07-01,3789,Residential,83176.0924,125
2022-07-01,3791,Commercial,63613.1266,66
2022-07-01,3791,Industrial,60225.7,1
2022-07-01,3791,Residential,393471.9059,609
2022-07-01,3792,Commercial,23740.76423,48
2022-07-01,3792,Industrial,21787.010000000002,2
2022-07-01,3792,Residential,262411.8718,391
2022-07-01,3793,Commercial,395050.04513,304
2022-07-01,3793,Industrial,415356.57399999996,13
2022-07-01,3793,Residential,907033.974,1424
2022-07-01,3795,Commercial,221519.11861,220
2022-07-01,3795,Industrial,131052.938,7
2022-07-01,3795,Residential,384593.9596,472
2022-07-01,3796,Commercial,434561.7986,261
2022-07-01,3796,Industrial,228060.45799999998,4
2022-07-01,3796,Residential,2103834.85136,3578
2022-07-01,3797,Commercial,339154.23720000003,215
2022-07-01,3797,Industrial,330376.194,8
2022-07-01,3797,Residential,1051716.37569,1540
2022-07-01,3799,Commercial,394179.13205,278
2022-07-01,3799,Industrial,26478.919,3
2022-07-01,3799,Residential,2050491.96413,2958
2022-07-01,3802,Commercial,25012.5117,9
2022-07-01,3802,Residential,26193.104,32
2022-07-01,3803,Commercial,877374.1738,500
2022-07-01,3803,Industrial,2304479.002,21
