the_month,POA_CODE21,solar_kwh_export,nmi_count
2022-07-01,3064,344503.368,1180
2022-07-01,3074,261373.833,1396
2022-07-01,3075,223192.716,1428
2022-07-01,3076,435231.357,2653
2022-07-01,3082,285069.883,2105
2022-07-01,3083,253260.26,1782
2022-07-01,3085,25045.926,228
2022-07-01,3087,65713.982,564
2022-07-01,3088,190799.178,1820
2022-07-01,3089,116560.024,1011
2022-07-01,3090,32548.047,209
2022-07-01,3091,22809.058,184
2022-07-01,3093,25831.705,266
2022-07-01,3094,46765.818,582
2022-07-01,3095,164094.336,2011
2022-07-01,3096,17656.829,165
2022-07-01,3097,17984.024,168
2022-07-01,3099,43820.426,477
2022-07-01,3106,1631.308,16
2022-07-01,3111,13772.224,123
2022-07-01,3113,66673.183,730
2022-07-01,3114,30910.035,318
2022-07-01,3115,38574.091,334
2022-07-01,3116,140384.54,963
2022-07-01,3132,589.364,3
2022-07-01,3133,4860.522,38
2022-07-01,3134,255440.482,2179
2022-07-01,3135,144874.601,1385
2022-07-01,3136,368755.325,3228
2022-07-01,3137,162177.276,1216
2022-07-01,3138,204567.993,1826
2022-07-01,3139,171297.964,1367
2022-07-01,3140,168421.186,1410
2022-07-01,3152,354490.006,2645
2022-07-01,3153,278224.002,1818
2022-07-01,3154,31771.406,348
2022-07-01,3155,186734.971,1749
2022-07-01,3156,405728.724,3487
2022-07-01,3158,33855.015,454
2022-07-01,3159,11828.642,195
2022-07-01,3160,49012.24,613
2022-07-01,3175,1648.216,5
2022-07-01,3178,290089.024,2067
2022-07-01,3179,19430.207,164
2022-07-01,3180,105750.207,761
2022-07-01,3522,290.281,3
2022-07-01,3607,2949.058,24
2022-07-01,3608,92808.473,485
2022-07-01,3612,976.485,9
2022-07-01,3646,188.816,3
2022-07-01,3658,121157.034,820
2022-07-01,3659,20038.422,131
2022-07-01,3660,153655.132,967
2022-07-01,3663,8208.159,37
2022-07-01,3664,34387.742,203
2022-07-01,3665,9070.419,67
2022-07-01,3666,124114.404,825
2022-07-01,3669,31945.453,229
2022-07-01,3670,14413.428,113
2022-07-01,3672,301734.971,1547
2022-07-01,3673,52515.358,319
2022-07-01,3675,70028.953,397
2022-07-01,3677,513110.294,2429
2022-07-01,3678,289042.489,1335
2022-07-01,3682,24737.856,116
2022-07-01,3683,50349.284,300
2022-07-01,3685,161119.362,558
2022-07-01,3687,40197.382,192
2022-07-01,3688,48101.263,248
2022-07-01,3690,1029480.072,4288
2022-07-01,3691,510789.361,1888
2022-07-01,3695,16234.17,80
2022-07-01,3697,18855.591,126
2022-07-01,3698,33512.315,229
2022-07-01,3699,23495.347,140
2022-07-01,3700,49045.003,265
2022-07-01,3701,48298.906,233
2022-07-01,3704,884.652,4
2022-07-01,3705,10207.732,47
2022-07-01,3707,57681.415,340
2022-07-01,3708,2035.002,13
2022-07-01,3709,8058.432,58
2022-07-01,3711,11784.907,106
2022-07-01,3712,10310.492,44
2022-07-01,3713,20238.689,164
2022-07-01,3714,69084.317,539
2022-07-01,3715,9344.249,55
2022-07-01,3717,75133.31,574
2022-07-01,3718,2285.565,13
2022-07-01,3719,12218.163,85
